PM2.5,PM2.5,PM10,PM10,SO2,SO2,NO2,NO2,CO,CO,O3,O3,TEMP,TEMP,PRES,PRES,DEWP,DEWP,RAIN,RAIN
mean,max,mean,max,mean,max,mean,max,mean,max,mean,max,mean,max,mean,max,mean,max,mean,max
93.46668971839743,664.0,116.01561131465466,917.0,34.69275130660394,274.0,69.96355767237742,207.0,1809.2200374049,9800.0,25.375156651762385,415.0,-1.5753700865779048,14.0,1023.2013820691852,1042.0,-14.263146253619107,3.1230624357950005,0.0006078802009884962,0.2
87.22903229286979,639.0,102.88579707446344,802.0,31.2255640379123,293.0,58.15691049279813,190.0,1382.681510251249,7100.0,36.784136712414146,205.0,1.3043269201392214,15.9,1021.3788644001321,1036.1,-12.684025419455828,5.0,0.010865568199303765,1.9
94.32531394522022,428.0,135.52057660261934,987.0,31.296104342225515,189.0,67.31448793442829,270.0,1337.4102867066097,6799.0,48.23692989676661,204.0,8.403950652841733,26.0,1014.9721158155241,1034.2,-7.177352150537634,12.4,0.009072580645161291,3.6
74.27650516720854,266.0,120.34505868040517,961.0,15.547594726012656,122.0,54.03043214226978,231.0,873.3164473113652,3600.0,70.12639042259048,270.0,15.309270833333333,31.9,1009.3603472222221,1030.6,1.1709027777777776,16.5,0.023541666666666666,11.7
64.7318670668959,320.0,116.42776259544621,906.0,15.7413585728985,155.0,48.583330364116236,178.0,889.6617286101849,3899.0,90.02337378642014,352.0,21.419657258064518,40.5,1003.4276545698925,1018.9,7.71051747311828,20.8,0.04741263440860215,11.5
73.76317151132785,512.0,92.15078344902395,509.0,8.532307363006328,198.0,43.63351469021682,149.0,1082.3426302393439,10000.0,92.73044795384673,307.0,24.56142361111111,37.3,1000.31625,1011.1,16.130381944444444,24.1,0.1573263888888889,40.7
75.9914221107457,270.0,90.07685700705979,439.0,7.184446475230581,240.0,41.06802062635073,149.0,988.3844467728861,4200.0,91.55096129264066,335.0,27.195262096774197,38.8,999.0787298387096,1010.2,20.39075940860215,27.3,0.26723790322580643,33.1
59.274709964902684,245.0,76.44937592652097,303.0,5.0122625722363665,44.0,44.26175511518491,144.0,863.4293206387797,3100.0,88.67244938698953,356.0,26.715120967741935,36.4,1002.1970766129032,1014.5,19.35625,28.5,0.11653225806451613,72.5
65.78816028668008,315.0,83.82968482728614,348.0,6.77573631142591,66.0,53.68729683531846,178.0,977.07794622397,4000.0,54.408687558984035,256.0,20.889871510533222,33.6,1009.6737945967959,1026.9,14.366167165642556,23.0,0.11749025926929955,46.4
96.88156390620239,460.0,118.24070885257315,999.0,9.113703364823571,111.0,67.93244809542367,239.0,1218.4853232512557,5900.0,30.218517678391713,269.0,13.510233254928316,28.4,1015.9404093862007,1036.4,6.278864247311828,18.6,0.03951612903225806,11.7
99.07203738646332,637.0,124.76625439804789,662.0,17.105249593732935,170.0,69.66851892113145,226.0,1702.425989225281,9800.0,19.97589617929744,124.0,4.6834375,20.9,1020.3212152777778,1038.5,-3.703611111111111,10.1,0.01513888888888889,1.8
110.17352181751895,680.0,130.54279218590648,680.0,29.351068787952265,156.0,76.20057213638869,225.0,2126.4613801529285,10000.0,20.204720947375012,68.0,-0.13303091397849462,14.8,1022.89186827957,1036.3,-11.00211693548387,2.2,0.0007056451612903226,0.6
