PM2.5,PM2.5,PM10,PM10,SO2,SO2,NO2,NO2,CO,CO,O3,O3,TEMP,TEMP,PRES,PRES,DEWP,DEWP,RAIN,RAIN
mean,max,mean,max,mean,max,mean,max,mean,max,mean,max,mean,max,mean,max,mean,max,mean,max
95.11375096306946,762.0,107.53358089267,951.0,27.03271687884343,176.0,54.49539018270381,258.0,1735.8385989372541,9600.0,30.727712581295687,173.0,-2.0060920632823147,13.387969092205662,1024.7459006950357,1042.8,-14.58897496644584,2.465035704084547,0.0007914389478685182,0.5
90.48710844769832,941.0,98.83537479604176,920.0,24.28183291403986,239.0,44.48457406170242,194.0,1320.8725655823273,7100.0,41.96913974253696,117.0,0.9804436336953386,15.4,1022.898685202871,1038.0,-12.653568952907682,4.8,0.01010716984428961,1.9
97.0626892823082,558.0,127.94513993510255,812.0,24.21939655691397,207.0,55.447590416521884,195.0,1226.0528619680958,8000.0,47.5079448128728,188.0,8.100470430107526,25.5,1016.6048163082437,1035.5,-7.706552419354839,11.0,0.005510752688172043,2.1
73.8226833889686,399.0,111.24968861461994,999.0,13.518648942144438,121.0,44.9030696007269,128.0,872.7427576197572,5800.0,63.89396908427029,257.0,15.279409722222221,32.3,1010.8789172979798,1031.2,-0.03131944444444445,17.0,0.0228125,13.0
63.65690354711822,360.0,98.36123908796544,917.0,12.276661506216994,167.0,39.44673275961094,238.0,810.4033132501067,6100.0,85.18605465645041,336.0,21.431447570259476,40.6,1004.8956189308539,1019.7,6.812320240491964,19.0,0.042964077436368486,19.5
70.84949585419656,427.0,83.19365474224514,453.0,5.03896455095554,76.0,32.67013786901132,128.0,983.1856156706333,10000.0,91.53433645067635,339.0,24.498090277777777,36.6,1001.8155555555555,1011.8,15.836699689969532,25.4,0.14378472222222222,31.2
74.51709493641144,336.0,82.17519142594925,348.0,5.306211813110268,77.0,28.47374035089703,128.0,917.1354504670419,4100.0,93.88062191770751,351.7164,27.196270161290325,39.0,1000.5833669354839,1011.0,19.69358198924731,26.9,0.24905913978494626,37.3
53.54010915862915,500.0,68.38224679889768,624.0,4.20948003650144,46.0,27.906904685222067,161.0,851.0530989998686,2600.0,82.47783629686586,340.0,26.47671370967742,37.0,1003.6665994623655,1015.2,18.789684139784946,27.5,0.08071236559139786,21.3
61.27522205710586,477.0,75.80318513314276,378.0,5.276557669358235,84.0,34.351973663604014,149.0,901.0860097508565,5300.0,50.997666386487545,258.0,20.592841966614152,34.5,1011.1917210475274,1027.8,13.839000099178012,21.9,0.12600304014064617,36.9
87.79872463648162,397.0,106.44190668314025,406.0,7.014844024739971,162.0,51.813618106273374,207.0,1080.6386175458524,6300.0,27.716601973264396,237.0,13.28805183531746,29.4,1017.4436939964157,1037.2,5.56434811827957,17.8,0.0324260752688172,4.6
89.72672974030368,512.0,112.57250890891181,762.0,13.41617596718787,143.0,55.590362316719954,204.0,1548.6202466052762,9900.0,21.58891904895756,111.0,4.629479166666666,20.4,1019.9135416666667,1039.4,-4.725347222222222,9.3,0.01572916666666667,2.6
96.30501414318856,689.0,111.96806287126306,903.0,21.673429083795693,203.0,57.11142107122268,204.0,1994.73061734444,10000.0,23.993791685882194,83.0,-0.5428763440860215,14.9,1022.704939516129,1037.1,-12.10483870967742,1.7,0.0007728494623655914,0.6
